idx,Geostat_Mu_K,Geostat_Mu_Ss,Geostat_Corr_Ss,Geostat_Rho,Phys_Perc_Betti0,Phys_Perc_Backbone,Phys_Perc_Tortuosity,Target_LogTau_q,Target_LogTau_h
4137,-9.021287180869596,-5.046235269288366,15.576233628188932,-0.7527499626786753,0.02487546719236821,0.37660213555885846,1.1870324189526185,1.0366591564168095,1.7444381787558298
4138,-2.9163384424567447,-9.566456321022143,8.380743324838363,-0.6250042799628063,66.36152760244028,0.002307199582092151,1.0349127182044888,0.4496287464613194,1.0307957875447848
4139,-9.898216966007643,-5.500906985868955,67.00901374930476,0.8689575253655897,0.0062188667980920525,0.49162007698957094,1.054862842892768,1.1761549549921269,1.8183614210601775
4140,-3.6112484875721957,-5.929962029074137,44.59256763427655,-0.285432500805047,0.0062188667980920525,0.5640139053861606,1.1321695760598505,0.9474501029981512,1.6901251715567605
4141,-6.071230432101908,-7.972166978771205,59.60857818555638,0.31198063988046365,0.0062188667980920525,0.5004446489760636,1.0,0.996729762250952,1.7468921428738338
4142,-2.1904642187552934,-9.389689201303288,67.15440748186306,0.1405120871744192,0.0062188667980920525,0.592415470053047,1.0,-0.0658975091190763,-0.0905867797156025
4143,-3.5910734945763654,-6.691624686676839,36.782081467715116,-0.6834696396706668,0.0062188667980920525,0.5877824142884683,1.0,0.7459636830296441,1.2916651185955963
4144,-8.526164943239692,-4.993311855174837,20.837643154908648,-0.048954523455826404,0.012437733596184105,0.6644548230421453,1.0,1.171648054186209,1.7520646947197875
4145,-11.82518175993274,-6.151949778003811,41.927467075258456,0.9743432735246782,0.05596980118282847,0.37739815050901426,1.2967581047381547,1.1276383002474226,1.7925497979820155
4146,-10.072135048312141,-6.489557313682986,26.06557876177365,-0.4863222399297221,0.08706413517328872,0.8514126155931866,1.0,1.1220914165654552,1.7038730017076458
4147,-8.126704043016325,-5.737412968892686,13.3986637823425,0.14364322438737465,66.14386726450707,0.0026367995223910297,1.087281795511222,0.9508850317057232,1.6768131722243438
4148,-5.02003531359757,-5.909715299415931,50.78725460497538,0.37602598222731287,0.0062188667980920525,0.5031436371664355,1.0,0.9035409334935214,1.9453549862049968
4149,-10.563172854147913,-9.796411608516483,25.047373404241775,0.09740404804739744,66.46102947120976,0.002288542981697875,1.0448877805486285,0.9510567053515276,1.6794510804944722
4150,-2.2682000318179565,-5.230775374549685,55.58772866577142,0.825424381602667,0.0062188667980920525,0.5086846474835356,1.0423940149625934,0.6967305038114648,1.5481797148166416
4151,-8.78814618125769,-5.9563773085275376,42.84164587715203,0.2826043976531911,0.0062188667980920525,0.6485034297050392,1.1097256857855362,0.9691538695246672,1.7116965138169873
4152,-2.0047580234623865,-6.885936873237152,3.3186787040932493,-0.6824160218087425,0.0062188667980920525,0.5142816276018184,1.0,0.8766595655004407,1.528049309610145
4153,-2.6513150991262844,-7.958084695736597,36.49831993613542,-0.1217673024183078,65.94486352696812,0.002139290178543666,1.0224438902743143,0.3309505712167138,0.9521138694903304
4154,-2.611158331635636,-6.052306401041081,60.987144790717466,-0.9757398576509602,0.0062188667980920525,0.5854130260383953,1.0,0.8423901639971113,1.4953763810144365
4155,-6.799581441787221,-8.078601879933842,63.47386682179673,-0.978114852251295,0.012437733596184105,0.38404611911617464,1.0,0.9361502176122672,1.6612855496315753
4156,-3.46504687226032,-7.226661159627744,11.071553390126812,-0.4510975186425017,67.21973122057699,0.002518641053227281,1.0224438902743143,0.8614455523002078,1.5935170378421568
4157,-5.623284840322146,-8.632360378629098,26.412353882496298,-0.13456015385635667,0.012437733596184105,0.5239768409400439,1.0,0.9316480581614474,1.6442297710502911
4158,-3.4427934905469755,-7.208473018303778,63.178054156640705,0.3628686298320545,0.0062188667980920525,0.627620474997046,1.0947630922693268,0.8314901964524902,1.4889330505395015
4159,-7.944874716401564,-9.005962797955249,11.893965759943933,-0.07924312919123011,0.0062188667980920525,0.6459350377174271,1.0,0.9842890231666134,1.6112575874408066
