idx,Geostat_Mu_K,Geostat_Mu_Ss,Geostat_Rho,Model_Type,Phys_Perc_Backbone,Phys_Perc_Betti0,Phys_Perc_ClusterSize,Phys_Info_Entropy,Phys_Info_Div,Phys_Morph_Lacunarity,Phys_Morph_Perimeter,Target_K_eff,Target_LogTau_q,Target_LogTau_h,DPL_a1,DPL_a2,DPL_b0
37,-3.5979441169179474,-5.210506096842838,-0.4076014494229253,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.010986549282599997,0.9670549958243685,1.6994759233743708,9.269471976490886,6.42259547817503,-0.010986549282599997
38,-6.389235359811657,-9.956689120276387,-0.727770475555374,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.002562914969180147,0.671328383359224,1.1993447076515233,4.6916800035414665,1.845255202547899,-0.002562914969180147
39,-11.206160164317701,-4.408495154097216,0.4868552654526279,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0008672510852596383,1.652333659007078,2.01153449819817,44.90902837288642,-0.5680714146840802,-0.0008672510852596383
40,-2.722538552014006,-5.920428455599291,0.7341565923640907,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0949414361918544,0.9153604149780247,2.324524808890196,8.229253009610147,4.554409916020647,-0.0949414361918544
41,-5.073403021790163,-6.400038952071618,-0.3934989839283536,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.02365843095614294,0.9672538781811274,1.7091322203993289,9.273717843503306,5.846790110002542,-0.02365843095614294
42,-5.215944425089306,-8.343532765563873,-0.4062126485838734,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.015959619650212583,0.9287799162932588,1.601257951061017,8.487502521163876,4.893162299516075,-0.015959619650212583
43,-5.261624890236855,-7.167014788827261,-0.6825588844708883,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.012518880589234714,1.0298332470247107,1.6851574513227745,10.711079605371756,8.198274611046596,-0.012518880589234714
44,-3.2281892798813985,-6.942751649319208,0.38353071600410726,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.048580379856014655,0.6280794954628104,1.3794573158457373,4.246972955770903,1.8478870002418957,-0.048580379856014655
45,-4.8869834020019685,-4.955019200730914,0.3685725966924547,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.008539464725365995,1.0152025563320597,1.7102118174884942,10.35625072894449,9.172048291590242,-0.008539464725365995
46,-10.126627503887693,-9.060827097616775,0.20686892342887453,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0007175568252932356,1.108251864961868,1.7823859377095743,12.83074473789264,10.87205714604036,-0.0007175568252932356
47,-3.502636902318965,-7.927804227343174,0.172837389767716,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.056875268514807696,0.8909494430487404,1.1484141451919512,7.779459837676393,3.3045625956527953,-0.056875268514807696
48,-3.1740374534293014,-5.390137919658269,0.22567246121612028,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.07433937795048767,0.9738454941380118,1.668459423534588,9.41554566752708,4.899381487790221,-0.07433937795048767
49,-2.660313571274738,-8.82580643251761,-0.1950146846808649,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.07044260170668547,0.507954744403736,0.6485431026165441,3.2207331577443243,0.8942326080839428,-0.07044260170668547
50,-8.012621409720564,-9.398947751496975,0.14581445297527829,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0002625666814531025,0.8738737967690716,1.3992998233537586,7.479521187704757,3.823881061435317,-0.0002625666814531025
51,-6.7215760015339026,-8.554359505445973,-0.3590154050736374,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.006301823730659311,0.8498338007651908,2.080898334217274,7.0767491394509845,3.8371483263282267,-0.006301823730659311
